rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
50,70,12:00,2.5,1.1,13,5,8,0,2,11,38.46,-1464.05,-1.4641,0.3507,1945.32,1.9453,-112.62,98535.95
50,70,12:00,2.5,1.2,11,3,8,0,2,9,27.27,-1884.09,-1.8841,0.1599,2036.94,2.0369,-171.28,98115.91
50,70,13:00,1.5,1.0,20,6,14,0,3,17,30.0,-2855.43,-2.8554,0.2817,3405.66,3.4057,-142.77,97144.57
50,70,13:00,1.5,1.1,19,6,13,0,3,16,31.58,-2565.41,-2.5654,0.3038,3125.64,3.1256,-135.02,97434.59
50,70,13:00,1.5,1.2,19,6,13,0,3,16,31.58,-2574.85,-2.5749,0.3004,3132.67,3.1327,-135.52,97425.15
50,70,13:00,2.0,1.0,20,6,14,0,3,17,30.0,-2855.43,-2.8554,0.2817,3405.66,3.4057,-142.77,97144.57
50,70,13:00,2.0,1.1,19,6,13,0,3,16,31.58,-2565.41,-2.5654,0.3038,3125.64,3.1256,-135.02,97434.59
50,70,13:00,2.0,1.2,19,6,13,0,3,16,31.58,-2574.85,-2.5749,0.3004,3132.67,3.1327,-135.52,97425.15
50,70,13:00,2.5,1.0,20,6,14,0,3,17,30.0,-2855.43,-2.8554,0.2817,3405.66,3.4057,-142.77,97144.57
50,70,13:00,2.5,1.1,19,6,13,0,3,16,31.58,-2565.41,-2.5654,0.3038,3125.64,3.1256,-135.02,97434.59
50,70,13:00,2.5,1.2,19,6,13,0,3,16,31.58,-2574.85,-2.5749,0.3004,3132.67,3.1327,-135.52,97425.15
50,70,15:00,1.5,1.0,29,11,18,0,3,26,37.93,-2124.47,-2.1245,0.4972,3561.78,3.5618,-73.26,97875.53
50,70,15:00,1.5,1.1,29,11,18,0,3,26,37.93,-2245.49,-2.2455,0.4808,3649.03,3.649,-77.43,97754.51
50,70,15:00,1.5,1.2,28,11,17,0,3,25,39.29,-1974.37,-1.9744,0.5018,3298.11,3.2981,-70.51,98025.63
50,70,15:00,2.0,1.0,29,11,18,0,3,26,37.93,-2124.47,-2.1245,0.4972,3561.78,3.5618,-73.26,97875.53
50,70,15:00,2.0,1.1,29,11,18,0,3,26,37.93,-2245.49,-2.2455,0.4808,3649.03,3.649,-77.43,97754.51
50,70,15:00,2.0,1.2,28,11,17,0,3,25,39.29,-1974.37,-1.9744,0.5018,3298.11,3.2981,-70.51,98025.63
50,70,15:00,2.5,1.0,29,11,18,0,3,26,37.93,-2124.47,-2.1245,0.4972,3561.78,3.5618,-73.26,97875.53
50,70,15:00,2.5,1.1,29,11,18,0,3,26,37.93,-2245.49,-2.2455,0.4808,3649.03,3.649,-77.43,97754.51
50,70,15:00,2.5,1.2,28,11,17,0,3,25,39.29,-1974.37,-1.9744,0.5018,3298.11,3.2981,-70.51,98025.63
50,72,11:00,1.5,1.0,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,1.5,1.1,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,1.5,1.2,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.0,1.0,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.0,1.1,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.0,1.2,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.5,1.0,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.5,1.1,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,11:00,2.5,1.2,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,72,12:00,1.5,1.0,15,5,10,0,2,13,33.33,-1984.37,-1.9844,0.2849,2455.64,2.4556,-132.29,98015.63
