lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
8,60.0,1.5,1.0,2.5,10,0,10,0,0.0,343,22.156443148688044,-11969.759999999998,-1196.9759999999999,0.0,True
10,60.0,1.5,1.0,2.0,10,0,10,0,0.0,322,22.982360248447204,-12006.250000000002,-1200.6250000000002,0.0,True
12,55.0,1.5,1.0,3.0,10,0,10,0,0.0,318,17.923710691823903,-12026.14,-1202.614,0.0,True
12,50.0,1.5,1.2,2.0,10,1,9,0,10.0,320,25.313312500000002,-12062.999999999998,-1206.2999999999997,0.001148476385023603,True
10,55.0,1.5,1.2,3.0,10,0,10,0,0.0,341,20.234281524926686,-12085.76,-1208.576,0.0,True
12,50.0,1.5,1.0,2.5,10,0,10,0,0.0,320,19.998906249999997,-12131.5,-1213.15,0.0,True
8,60.0,1.5,1.2,2.0,10,0,10,0,0.0,343,26.822215743440232,-12147.829999999998,-1214.783,0.0,True
10,50.0,1.5,1.0,3.0,10,1,9,0,10.0,344,18.895,-12169.84,-1216.984,0.012798901977835137,True
10,50.0,1.5,1.2,2.5,10,1,9,0,10.0,344,23.255930232558136,-12213.23,-1221.3229999999999,0.004505844638020428,True
10,55.0,1.5,1.0,3.0,10,1,9,0,10.0,341,18.473782991202345,-12230.04,-1223.0040000000001,0.007044037412314887,True
12,55.0,1.5,1.2,2.0,10,0,10,0,0.0,318,24.8433962264151,-12254.189999999999,-1225.4189999999999,0.0,True
12,55.0,1.5,1.0,2.5,10,0,10,0,0.0,318,19.496729559748427,-12324.550000000001,-1232.4550000000002,0.0,True
10,55.0,1.5,1.2,2.5,10,0,10,0,0.0,341,22.580615835777127,-12345.68,-1234.568,0.0,True
8,60.0,1.5,1.0,2.0,10,0,10,0,0.0,343,24.487667638483963,-12467.199999999997,-1246.7199999999998,0.0,True
12,50.0,1.5,1.0,2.0,10,0,10,0,0.0,320,21.874781249999998,-12473.010000000002,-1247.3010000000002,0.0,True
10,50.0,1.5,1.0,2.5,10,1,9,0,10.0,344,20.348691860465117,-12538.65,-1253.865,0.003846013286661063,True
8,50.0,1.5,1.0,3.0,10,0,10,0,0.0,373,20.37276139410188,-12630.990000000002,-1263.0990000000002,0.0,True
12,55.0,1.5,1.0,2.0,10,0,10,0,0.0,318,21.384874213836476,-12685.880000000001,-1268.5880000000002,0.0,True
